MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
01/01/2022 00:00:00 - 01/01/2022 01:00:00,BZN|NL,Without Sequence,124.7,,
01/01/2022 01:00:00 - 01/01/2022 02:00:00,BZN|NL,Without Sequence,124.7,,
01/01/2022 02:00:00 - 01/01/2022 03:00:00,BZN|NL,Without Sequence,134,,
01/01/2022 03:00:00 - 01/01/2022 04:00:00,BZN|NL,Without Sequence,58.8,,
01/01/2022 04:00:00 - 01/01/2022 05:00:00,BZN|NL,Without Sequence,37.67,,
01/01/2022 05:00:00 - 01/01/2022 06:00:00,BZN|NL,Without Sequence,39.7,,
01/01/2022 06:00:00 - 01/01/2022 07:00:00,BZN|NL,Without Sequence,40.59,,
01/01/2022 07:00:00 - 01/01/2022 08:00:00,BZN|NL,Without Sequence,43.26,,
01/01/2022 08:00:00 - 01/01/2022 09:00:00,BZN|NL,Without Sequence,49.66,,
01/01/2022 09:00:00 - 01/01/2022 10:00:00,BZN|NL,Without Sequence,70.05,,
01/01/2022 10:00:00 - 01/01/2022 11:00:00,BZN|NL,Without Sequence,76.79,,
01/01/2022 11:00:00 - 01/01/2022 12:00:00,BZN|NL,Without Sequence,84.1,,
01/01/2022 12:00:00 - 01/01/2022 13:00:00,BZN|NL,Without Sequence,94.74,,
01/01/2022 13:00:00 - 01/01/2022 14:00:00,BZN|NL,Without Sequence,96.8,,
01/01/2022 14:00:00 - 01/01/2022 15:00:00,BZN|NL,Without Sequence,97.17,,
01/01/2022 15:00:00 - 01/01/2022 16:00:00,BZN|NL,Without Sequence,101.27,,
01/01/2022 16:00:00 - 01/01/2022 17:00:00,BZN|NL,Without Sequence,126.6,,
01/01/2022 17:00:00 - 01/01/2022 18:00:00,BZN|NL,Without Sequence,149.97,,
01/01/2022 18:00:00 - 01/01/2022 19:00:00,BZN|NL,Without Sequence,146.33,,
01/01/2022 19:00:00 - 01/01/2022 20:00:00,BZN|NL,Without Sequence,140.28,,
01/01/2022 20:00:00 - 01/01/2022 21:00:00,BZN|NL,Without Sequence,121.88,,
01/01/2022 21:00:00 - 01/01/2022 22:00:00,BZN|NL,Without Sequence,102.61,,
01/01/2022 22:00:00 - 01/01/2022 23:00:00,BZN|NL,Without Sequence,97.46,,
01/01/2022 23:00:00 - 02/01/2022 00:00:00,BZN|NL,Without Sequence,85.16,,
02/01/2022 00:00:00 - 02/01/2022 01:00:00,BZN|NL,Without Sequence,57.08,,
02/01/2022 01:00:00 - 02/01/2022 02:00:00,BZN|NL,Without Sequence,52.59,,
02/01/2022 02:00:00 - 02/01/2022 03:00:00,BZN|NL,Without Sequence,48.97,,
02/01/2022 03:00:00 - 02/01/2022 04:00:00,BZN|NL,Without Sequence,34.94,,
02/01/2022 04:00:00 - 02/01/2022 05:00:00,BZN|NL,Without Sequence,29.56,,
02/01/2022 05:00:00 - 02/01/2022 06:00:00,BZN|NL,Without Sequence,33.97,,
02/01/2022 06:00:00 - 02/01/2022 07:00:00,BZN|NL,Without Sequence,34.52,,
02/01/2022 07:00:00 - 02/01/2022 08:00:00,BZN|NL,Without Sequence,41.8,,
02/01/2022 08:00:00 - 02/01/2022 09:00:00,BZN|NL,Without Sequence,48.95,,
02/01/2022 09:00:00 - 02/01/2022 10:00:00,BZN|NL,Without Sequence,60.01,,
02/01/2022 10:00:00 - 02/01/2022 11:00:00,BZN|NL,Without Sequence,70.09,,
02/01/2022 11:00:00 - 02/01/2022 12:00:00,BZN|NL,Without Sequence,66.26,,
02/01/2022 12:00:00 - 02/01/2022 13:00:00,BZN|NL,Without Sequence,64.54,,
02/01/2022 13:00:00 - 02/01/2022 14:00:00,BZN|NL,Without Sequence,46.96,,
02/01/2022 14:00:00 - 02/01/2022 15:00:00,BZN|NL,Without Sequence,49.06,,
